gen,best_err_so_far,Ua_suc_ref,Ua_dis_ref,Ua_amb,A_tot,A_dis,V_IC,alpha_loss,W_dot_loss_ref
10,0.02548302465500207,25.971183905966114,6.532051202499894,2.8478102121787128,8.40072914078585e-08,1.4145798337033304e-05,3.07e-05,0.19950198328656463,34.73443947390357
20,0.023727566019150874,44.25950932458946,6.532051202499894,0.36,8.40072914078585e-08,6.040084016153931e-06,3.07e-05,0.18011689676847792,59.029743724639786
30,0.01989870125952336,44.25950932458946,6.532051202499894,2.4093039790148585,9.052404814093405e-09,6.040084016153931e-06,2.9820810115450176e-05,0.22377601053305324,59.029743724639786
40,0.01989870125952336,44.25950932458946,6.532051202499894,2.4093039790148585,9.052404814093405e-09,6.040084016153931e-06,2.9820810115450176e-05,0.22377601053305324,59.029743724639786
50,0.01802640458575533,44.25950932458946,6.532051202499894,2.4093039790148585,9.052404814093405e-09,5.742726721238482e-05,2.9820810115450176e-05,0.22377601053305324,59.029743724639786
60,0.01802640458575533,44.25950932458946,6.532051202499894,2.4093039790148585,9.052404814093405e-09,5.742726721238482e-05,2.9820810115450176e-05,0.22377601053305324,59.029743724639786
70,0.01802640458575533,44.25950932458946,6.532051202499894,2.4093039790148585,9.052404814093405e-09,5.742726721238482e-05,2.9820810115450176e-05,0.22377601053305324,59.029743724639786
80,0.017419491039786864,44.25950932458946,6.532051202499894,2.4093039790148585,9.052404814093405e-09,5.5251716611694325e-05,2.9820810115450176e-05,0.22377601053305324,59.029743724639786
90,0.017419491039786864,44.25950932458946,6.532051202499894,2.4093039790148585,9.052404814093405e-09,5.5251716611694325e-05,2.9820810115450176e-05,0.22377601053305324,59.029743724639786
100,0.017419491039786864,44.25950932458946,6.532051202499894,2.4093039790148585,9.052404814093405e-09,5.5251716611694325e-05,2.9820810115450176e-05,0.22377601053305324,59.029743724639786
